11:29:48:423 [ALWAYS]	GUDE Logging Started
11:29:48:423 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
11:29:48:423 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
11:29:48:423 [ERROR]	Initialize resume cache pointer failure
11:29:48:423 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
11:29:48:423 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
11:29:54:479 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
11:29:54:480 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
11:29:54:480 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
11:29:54:480 [ERROR]	Initialize resume cache pointer failure
11:29:54:480 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
11:29:54:480 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
